Company,RelationshipQuotient
aol.com,51114
hotmail.com,20523
yahoo.com,8863.75
bracepatt.com,8081
txu.com,5147
earthlink.net,4243.75
haas.berkeley.edu,3974
gmssr.com,3950
llgm.com,3930
govadv.com,3762
akllp.com,3696
kslaw.com,3677.25
msn.com,3403.5
duke-energy.com,3313.75
nymex.com,3264.75
columbiaenergygroup.com,3196.5
pgn.com,2666
compaq.com,2662
rice.edu,2601
velaw.com,2426.25
carrfut.com,2402.25
brobeck.com,2354
houston.rr.com,2222.25
andrews-kurth.com,2076.25
isda.org,2007.5
williams.com,1991.25
reliantenergy.com,1980
caiso.com,1866
juno.com,1862.5
email.msn.com,1790
pdq.net,1660.5
robertmondavi.com,1623
swbell.net,1585
dynegy.com,1459
flash.net,1364
nyiso.com,1283.25
home.com,1280
worldnet.att.net,1241
bigplanet.com,1236.75
calpine.com,1208
mail.utexas.edu,1203
mindspring.com,1190.25
bpa.gov,1187.25
pge.com,1186.5
erac.com,1140.5
skytel.com,1056.75
marathon-com.com,1039
intcx.com,1020
neg.pge.com,996
ps.ge.com,979
gibbs-bruns.com,952
sempra.com,934
milbank.com,934
sullcrom.com,932.25
accenture.com,930.75
pira.com,924
amazon.com,852
baylor.edu,740
cs.com,725.25
utilicorp.com,722
iepa.com,718.5
eott.com,715
dttus.com,705
csfb.com,699
bellsouth.net,695
epsa.org,678
nisource.com,673.5
elpaso.com,671.5
travelpark.com,660
bmc.com,654
cera.com,651.75
blakes.com,648
azurix.com,643.5
aep.com,628.5
schwab.com,625.5
ae.ge.com,610.5
mckinsey.com,604
elektro.com.br,601.5
cpuc.ca.gov,600
perfect.com,597.5
cwt.com,597
eei.org,596
amerexenergy.com,580.5
enform.com,556
pacbell.net,552
stanford.edu,550
deloitte.com,543.75
ev1.net,543
compuserve.com,541
ipgdirect.com,534
svmg.org,530
austin.rr.com,527
prodigy.net,526.5
gs.com,523
pjm.com,522
jonesday.com,518.25
ss.ps.ge.com,518.25
newpower.com,516
wfsg.com,514.5
cinergy.com,510
nytimes.com,506.25
att.net,505
dow.com,503
bus.utexas.edu,503
lhom.com,478
us.abb.com,471
bakerbotts.com,458
netzero.net,444
americas.bnpparibas.com,435.75
apsc.com,432.75
chase.com,432.75
sarofim.com,427
bp.com,420
weil.com,417
epenergy.com,414.75
coair.com,411
equiva.com,407.25
basf-corp.com,405
sce.com,402.5
reliant.com,401.5
pecorp.com,401.25
texas.net,394
cisco.com,366
uclink4.berkeley.edu,352.5
citicorp.com,344
halliburton.com,339
uh.edu,329.25
susmangodfrey.com,327.75
ferc.fed.us,326.5
bigfoot.com,318.75
mediaone.net,317.25
arterhadden.com,316.5
wharton.upenn.edu,316.5
pkns.com,315.75
msl.redstone.army.mil,315
igservice.com,309
skadden.com,307.5
kindermorgan.com,305.25
erols.com,301
dell.com,297
us.pwcglobal.com,297
nepco.com,295.5
industrialinfo.com,289
ftenergy.com,283
tca-us.com,280
kdscommunications.com,279
dowjones.com,278.25
ac.com,277
dom.com,276
ch2m.com,275.25
arpartners.com,273
fpl.com,273
exchange.ml.com,270.75
frontier-economics.com,270
ubsw.com,268.5
dwt.com,265.5
apex2000.net,265
alltel.net,260.25
br-inc.com,256.5
interx.net,250.5
lehman.com,248.25
cfisd.net,247.5
us.arthurandersen.com,246
coral-energy.com,245.25
mirant.com,242
watsonwyatt.com,240.5
austintx.com,237.75
epelectric.com,234
lockeliddell.com,234
t-online.de,231
mcnallytemple.com,229.5
kochind.com,228
painewebber.com,227.25
natsource.com,226.5
calpx.com,225.75
stoel.com,223.5
bankofamerica.com,221.25
entergy.com,220
ix.netcom.com,216.75
wt.net,216
multexinvestornetwork.com,215.25
aec.ca,213.75
mail.house.gov,212.25
nesanet.org,212
pacificorp.com,211.5
whwg.com,209.5
intelligencepress.com,208.5
orbitworld.net,206.25
uswest.net,206
nicor.com,204.75
bear.com,201.75
apbenergy.com,200.25
riskwaters.com,198
luntz.com,197.5
viviance.com,196.5
saltgrass.com,196.5
ml.com,196.5
platts.com,195.5
intel.com,195
nbsrealtors.com,192
ercot.com,191.25
wrightlaw.com,189.75
jpmorgan.com,189
qualcomm.com,187
puget.com,186.75
freshfields.com,186.5
piperrudnick.com,186.5
cadvision.com,186.25
us.andersen.com,186
lplpi.com,185
db.com,183
neosoft.com,183
cleanpower.org,182
texaco.com,180.75
beaconelectric.com,180
prebon.com,177.75
cmta.net,177
manorisd.net,175.5
ogwb.com,174
pagenetmessage.net,172.5
kilstock.com,171
andrew.cmu.edu,170.25
lacima.co.uk,169.5
sppc.com,167.25
csc.com,167.25
tecoenergy.com,167.25
kpmg.com,167.25
aelaw.com,166.5
sportsline.com,165.75
ieor.berkeley.edu,164.5
hollandhart.com,163.5
reply.pm0.net,163.5
ssmb.com,163.5
uth.tmc.edu,160.5
excite.com,158.25
argentinc.com,156.75
truequote.com,154.5
idahopower.com,151.5
oxy.com,150.75
lilly.com,150.5
pseg.com,148.5
mariner-energy.com,146.25
ourclub.com,146.25
yale.edu,144.75
texas.usta.com,144
turn.org,143.5
srpnet.com,142.5
houston.org,141.75
lacimagroup.com,141.5
zdnetonebox.com,141
sprintmail.com,140.25
concentric.net,140
cliffordchance.com,139.5
czn.com,139
avistacorp.com,137
risk.co.uk,137
corealty.com,137
pnm.com,136.5
sswpc.com,136
uniteddc.com,135.25
akingump.com,135
processrequest.com,132
womans.com,130
gte.net,130
msdw.com,129
ensr.com,128
socalgas.com,127
