company,year,sentMails,receivedMails,RelationshipQuotient
aol.com,2000,5896,997,3695.75
aol.com,2001,4299,1196,3046.5
govadv.com,2001,2762,622,1847.5
hotmail.com,2001,1579,1054,1580
hotmail.com,2000,1744,688,1388
bracepatt.com,2001,1766,485,1246.75
kslaw.com,2001,1328,468,1015
brobeck.com,2001,1578,255,980.25
llgm.com,2001,1699,125,943.25
columbiaenergygroup.com,2000,874,648,923
yahoo.com,2001,699,697,872.25
txu.com,2000,52,1058,819.5
carrfut.com,2001,22,1031,784.25
bracepatt.com,2000,1026,325,756.75
nymex.com,2001,13,938,710
gmssr.com,2001,801,394,696
velaw.com,2000,842,286,635.5
yahoo.com,2000,839,265,618.25
haas.berkeley.edu,2001,173,622,553
compaq.com,2000,698,246,533.5
rice.edu,2001,818,162,530.5
marathon-com.com,2001,1033,4,519.5
intcx.com,2001,22,651,499.25
houston.rr.com,2001,532,279,475.25
earthlink.net,2001,435,315,453.75
akllp.com,2000,472,279,445.25
haas.berkeley.edu,2000,128,502,440.5
txu.com,2001,41,546,430
pgn.com,2001,767,46,418
williams.com,2001,229,403,416.75
andrews-kurth.com,2000,376,303,415.25
nyiso.com,2001,14,542,413.5
bigplanet.com,2000,514,207,412.25
akllp.com,2001,496,215,409.25
aol.com,2002,228,391,407.25
caiso.com,2001,88,472,398
bpa.gov,2001,596,107,378.25
erac.com,2001,676,40,368
llgm.com,2000,597,79,357.75
duke-energy.com,2000,160,369,356.75
hotmail.com,2002,211,298,329
nisource.com,2001,22,420,326
pdq.net,2000,452,109,307.75
reliantenergy.com,2000,236,247,303.25
elpaso.com,2001,330,184,303
csfb.com,2000,365,155,298.75
nymex.com,2000,10,391,298.25
accenture.com,2001,367,153,298.25
juno.com,2000,317,166,283
yahoo.com,2002,98,311,282.25
gmssr.com,2000,264,198,280.5
pira.com,2001,3,370,279
kdscommunications.com,2001,429,86,279
msn.com,2001,243,210,279
enform.com,2001,85,314,278
svmg.org,2001,20,340,265
mail.utexas.edu,2000,290,151,258.25
earthlink.net,2000,296,147,258.25
robertmondavi.com,2001,279,142,246
pgn.com,2000,480,6,244.5
email.msn.com,2000,247,154,239
lhom.com,2001,466,8,239
duke-energy.com,2001,219,170,237
skytel.com,2001,419,36,236.5
isda.org,2001,69,265,233.25
dttus.com,2000,451,6,230
flash.net,2000,238,145,227.75
caiso.com,2000,7,294,224
mindspring.com,2001,277,111,221.75
epsa.org,2001,54,257,219.75
sarofim.com,2001,385,28,213.5
amazon.com,2001,9,278,213
swbell.net,2001,277,99,212.75
kslaw.com,2000,336,57,210.75
milbank.com,2000,117,194,204
pdq.net,2001,274,89,203.75
erac.com,2000,400,3,202.25
pge.com,2000,131,182,202
elektro.com.br,2001,389,8,200.5
eott.com,2001,302,65,199.75
dynegy.com,2001,260,93,199.75
calpine.com,2000,155,161,198.25
luntz.com,2000,332,42,197.5
brobeck.com,2000,194,133,196.75
