Movie,movieRating,potentialUserId,potentialFactor
Sin City,4,322009,2743.441216
Duplex (Widescreen),4,322009,2743.441216
The Five People You Meet in Heaven,4,322009,2743.441216
The Sopranos: Season 3,4,322009,2743.441216
American Chopper: Season 1,4,322009,2743.441216
Framed,4,322009,2743.441216
The Very Best of America's Funniest Comedians,4,322009,2743.441216
Planet of the Apes,4,322009,2743.441216
Texas Rangers,4,322009,2743.441216
Pearl Harbor,4,322009,2743.441216
Curb Your Enthusiasm: Season 4,4,322009,2743.441216
Lords of Dogtown,4,322009,2743.441216
Never Die Alone,4,322009,2743.441216
Eagles: Farewell I Tour: Live from Melbourne,4,322009,2743.441216
Rodney Dangerfield: No Respect: The Ultimate Collection,4,322009,2743.441216
Spider-Man 2,4,322009,2743.441216
Drumline,4,322009,2743.441216
Out of Time,4,322009,2743.441216
Lost in Translation,4,322009,2743.441216
XXX: Special Edition,4,322009,2743.441216
The Ballad of Jack and Rose,4,322009,2743.441216
Ocean's Eleven,4,322009,2743.441216
Saturday Night Live: The Best of Will Ferrell 2,4,322009,2743.441216
The Fighting Temptations,4,322009,2743.441216
A Man Apart,4,322009,2743.441216
Serendipity,4,322009,2743.441216
The Whole Ten Yards,4,322009,2743.441216
Equilibrium,4,322009,2743.441216
Star Wars: Episode II: Attack of the Clones,4,322009,2743.441216
Tomb Raider,4,322009,2743.441216
John Q,4,322009,2743.441216
About a Boy,4,322009,2743.441216
Head in the Clouds,4,322009,2743.441216
Gracie's Choice,4,322009,2743.441216
A Beautiful Mind,4,322009,2743.441216
Formula 51,4,322009,2743.441216
Boat Trip,4,322009,2743.441216
Save the Last Dance,4,322009,2743.441216
Assassination Tango,4,322009,2743.441216
My Life Without Me,4,322009,2743.441216
21 Grams,4,322009,2743.441216
Bruce Springsteen and The E Street Band: Live in Barcelona,4,322009,2743.441216
Ali,4,322009,2743.441216
Madison,4,322009,2743.441216
Murder By Numbers,4,322009,2743.441216
Confessions of a Dangerous Mind,4,322009,2743.441216
The Osbournes: Season 1 (Uncensored),4,322009,2743.441216
Narc,4,322009,2743.441216
Layer Cake,4,322009,2743.441216
Windtalkers,4,322009,2743.441216
