Movie,moviePotentialFactor
The Order,151623.6403
The Passion of the Christ,145504.9583
Lord of the Rings: The Fellowship of the Ring,143090.236
Bad Boys II,142063.7174
The Last Samurai,140327.7046
Lord of the Rings: The Return of the King,139651.819
The Bourne Supremacy,136842.1403
The Bourne Identity,136842.1403
Lord of the Rings: The Return of the King: Extended Edition,136376.3266
The Lord of the Rings: The Fellowship of the Ring: Extended Edition,136376.3266
E.T. the Extra-Terrestrial: The 20th Anniversary (Rerelease),136123.5112
Lord of the Rings: The Two Towers: Extended Edition,133632.8853
WWE: No Way Out,131852.9926
Lord of the Rings: The Two Towers,130456.9498
The Hunted,130204.1344
The Italian Job,128164.5601
American Pie 2,127713.5086
Batman Begins,127204.0726
Evolution,127108.3605
Windtalkers,127038.3242
Guess Who,126966.7486
The Chronicles of Riddick,126931.4659
Terminator 3: Rise of the Machines,126663.6921
Monsters Inc.,126478.1421
Gothika,126391.0854
We Were Soldiers,124560.7043
Lara Croft: Tomb Raider: The Cradle of Life,123734.7009
XXX: Special Edition,123734.7009
Pirates of the Caribbean: The Curse of the Black Pearl,123525.5077
Hitch,123490.225
Pearl Harbor,123194.3204
Spider-Man 2,121075.5027
Man on Fire,120666.1396
The Matrix: Revolutions,120293.46
The Matrix: Reloaded,120293.46
Jurassic Park III,120293.46
Star Wars: Clone Wars: Vol. 1,120293.46
The Transporter,120049.3397
A Man Apart,120028.5102
The Pacifier,119188.7488
The Rundown,118463.0789
Underworld,117843.455
The Butterfly Effect: Director's Cut,117570.8483
American Wedding,117570.8483
Identity,117570.8483
Ice Age,117570.8483
Harold and Kumar Go to White Castle,117570.8483
Tears of the Sun,117305.8984
Collateral Damage,117274.9437
The Sum of All Fears,116438.1709
The Texas Chainsaw Massacre,116425.6809
Die Another Day,116356.6024
Analyze That,116325.6476
2 Fast 2 Furious,116229.3078
The Manchurian Candidate,116063.5593
Blade: Trinity,116020.1146
The Fast and the Furious,115984.8319
I Robot,115984.8319
Alien vs. Predator,115984.8319
Ladder 49,115956.7011
